0	6.366401	0.0735735
0.001	6.33421		0.0755105
0.002	6.302846	0.0774728
0.003	6.272265	0.0794602
0.004	6.241621	0.0814728
0.005	6.210909	0.0835105
0.006	6.180133	0.0855734
0.007	6.150534	0.0876615
0.008	6.121253	0.0897747
0.009	6.093141	0.0919131
0.01	6.065226	0.0940767
0.011	6.037259	0.0962655
0.012	6.00924		0.0984794
0.013	5.981168	0.1007185
0.014	5.954205	0.1029828
0.015	5.92741		0.1052722
0.016	5.901713	0.1075868
0.017	5.876094	0.1099266
0.018	5.850432	0.1122915
0.019	5.824727	0.1146816
0.02	5.798979	0.1170969
0.021	5.773983	0.1195374
0.022	5.749331	0.122003
0.023	5.72544		0.1244938
0.024	5.701798	0.1270098
0.025	5.678121	0.1295509
0.026	5.654408	0.1321172
0.027	5.63066		0.1347087
0.028	5.607139	0.1373253
0.029	5.584336	0.1399671
0.03	5.561807	0.1426341
0.031	5.539883	0.1453262
0.032	5.51793		0.1480435
0.033	5.495949	0.150786
0.034	5.473935	0.1535537
0.035	5.451891	0.1563465
0.036	5.430341	0.1591645
0.037	5.409121	0.1620077
0.038	5.388424	0.164876
0.039	5.367972	0.1677695
0.04	5.347491	0.1706882
0.041	5.326983	0.173632
0.042	5.306453	0.176601
0.043	5.285899	0.1795952
0.044	5.265848	0.1826146
0.045	5.246009	0.1856591
0.046	5.226705	0.1887288
0.047	5.207541	0.1918236
0.048	5.188357	0.1949437
0.049	5.169146	0.1980889
0.05	5.149916	0.2012592
0.051	5.130669	0.2044548
0.052	5.111753	0.2076755
0.053	5.09313		0.2109213
0.054	5.074892	0.2141924
0.055	5.056862	0.2174886
0.056	5.038808	0.22081
0.057	5.02074	0.2241565
0.058	5.002657	0.2275283
0.059	4.984551	0.2309252
0.06	4.966504	0.2343472
0.061	4.948959	0.2377944
0.062	4.931535	0.2412668
0.063	4.914503	0.2447644
0.064	4.897457	0.2482872
0.065	4.880392	0.2518351
0.066	4.863316	0.2554081
0.067	4.846224	0.2590064
0.068	4.829114	0.2626298
0.069	4.81224	0.2662784
0.07	4.795619	0.2699522
0.071	4.779295	0.2736511
0.072	4.763135	0.2773752
0.073	4.74696	0.2811244
0.074	4.730775	0.2848989
0.075	4.714574	0.2886985
0.076	4.698361	0.2925233
0.077	4.682137	0.2963732
0.078	4.666164	0.3002483
0.079	4.650373	0.3041486
0.08	4.6349	0.3080741
0.081	4.619512	0.3120247
0.082	4.604113	0.3160005
0.083	4.588702	0.3200014
0.084	4.573281	0.3240276
0.085	4.557849	0.3280789
0.086	4.542407	0.3321553
0.087	4.52713	0.336257
0.088	4.51207	0.3403838
0.089	4.497253	0.3445357
0.09	4.482551	0.3487129
0.091	4.467839	0.3529152
0.092	4.45312	0.3571427
0.093	4.43839	0.3613954
0.094	4.423652	0.3656732
0.095	4.408904	0.3699762
0.096	4.394165	0.3743043
0.097	4.379755	0.3786577
0.098	4.365447	0.3830362
0.099	4.351355	0.3874398
0.1	4.337258	0.3918687
0.101	4.323151	0.3963227
0.102	4.309038	0.4008019
0.103	4.294916	0.4053062
0.104	4.280788	0.4098357
0.105	4.266651	0.4143904
0.106	4.252637	0.4189703
0.107	4.238801	0.4235753
0.108	4.225175	0.4282055
0.109	4.211622	0.4328609
0.11	4.198062	0.4375414
0.111	4.184496	0.4422471
0.112	4.170924	0.446978
0.113	4.157345	0.4517341
0.114	4.14376	0.4565153
0.115	4.130169	0.4613217
0.116	4.11672	0.4661532
0.117	4.103396	0.4710099
0.118	4.090304	0.4758918
0.119	4.07723	0.4807989
0.12	4.064154	0.4857311
0.121	4.051069	0.4906885
0.122	4.037983	0.4956711
0.123	4.024888	0.5006788
0.124	4.011792	0.5057117
0.125	3.998687	0.5107698
0.126	3.985678	0.5158531
0.127	3.97281	0.5209615
0.128	3.960129	0.5260951
0.129	3.947483	0.5312538
0.13	3.934834	0.5364378
0.131	3.922181	0.5416468
0.132	3.909523	0.5468811
0.133	3.896863	0.5521405
